kP,kI,kD,,,,
1.00E-05,1.00E-05,0.0001,,,,
Target,Altitude,Time,P,I,D,Thrott
1000,393.238,19.38,609.332,5873.96,31.6044,0.42878
1000,396.466,19.48,606.118,5873.28,31.2754,0.428488
1000,399.713,19.58,602.886,5872.11,30.949,0.42819
1000,402.977,19.68,599.636,5870.43,30.6249,0.427888
1000,406.259,19.78,596.368,5868.26,30.3032,0.427581
1000,410.221,19.88,593.082,5865.59,29.9839,0.42727
1000,413.542,19.98,589.117,5855.82,29.6336,0.426877
1000,416.211,20.08,586.458,5858.72,29.3523,0.426631
1000,420.236,20.18,583.12,5854.52,29.0398,0.426304
1000,422.934,20.28,579.09,5843.02,28.6963,0.425894
1000,426.322,20.38,576.39,5844.59,28.4216,0.425635
1000,430.41,20.48,572.999,5838.86,28.1157,0.425293
1000,433.15,20.58,568.906,5825.59,27.7786,0.424866
1000,436.591,20.68,566.163,5825.82,27.5104,0.424594
1000,440.049,20.78,562.719,5818.52,27.2108,0.424237
1000,444.221,20.88,559.258,5810.69,26.9133,0.423874
1000,447.017,20.98,555.779,5802.33,26.6178,0.423506
1000,450.527,21.08,552.283,5793.44,26.3242,0.423134
1000,454.054,21.18,548.769,5784.02,26.0327,0.422755
1000,457.599,21.28,545.238,5774.07,25.7431,0.422372
1000,461.161,21.38,541.69,5763.58,25.4554,0.421983
1000,464.74,21.48,538.125,5752.55,25.1695,0.421589
1000,468.336,21.58,534.542,5740.98,24.8856,0.42119
1000,471.949,21.68,530.943,5728.87,24.6035,0.420785
1000,475.579,21.78,527.326,5716.21,24.3232,0.420375
1000,479.226,21.88,523.693,5703.01,24.0447,0.41996
1000,482.89,21.98,520.042,5689.26,23.7679,0.419539
1000,486.571,22.08,516.375,5674.96,23.493,0.419113
1000,490.268,22.18,512.691,5660.11,23.2197,0.418682
1000,493.982,22.28,508.991,5644.71,22.9482,0.418245
1000,497.712,22.38,505.273,5628.74,22.6783,0.417803
1000,501.46,22.48,501.539,5612.23,22.4102,0.417355
1000,505.978,22.58,497.789,5595.15,22.1436,0.416902
1000,509.003,22.68,493.267,5568.98,21.8453,0.416347
1000,512.8,22.78,490.239,5559.31,21.6155,0.415978
1000,516.612,22.88,486.439,5540.54,21.3538,0.415509
1000,521.208,22.98,482.623,5521.21,21.0937,0.415033
1000,524.286,23.08,478.792,5501.31,20.8351,0.414553
1000,528.146,23.18,474.944,5480.85,20.5781,0.414066
1000,532.023,23.28,471.08,5459.81,20.3227,0.413574
1000,536.696,23.38,467.2,5438.21,20.0687,0.413077
1000,539.824,23.48,462.523,5406.89,19.7829,0.412471
1000,543.748,23.58,459.393,5393.27,19.5653,0.412065
1000,547.688,23.68,455.465,5369.94,19.3158,0.41155
1000,551.643,23.78,451.523,5346.03,19.0677,0.41103
1000,555.614,23.88,447.564,5321.54,18.821,0.410505
1000,559.6,23.98,443.59,5296.47,18.5758,0.409974
1000,563.601,24.08,439.601,5270.82,18.332,0.409437
1000,567.618,24.18,435.596,5244.58,18.0895,0.408894
1000,571.65,24.28,431.577,5217.76,17.8485,0.408346
1000,575.697,24.38,427.542,5190.35,17.6088,0.407792
1000,579.759,24.48,423.492,5162.36,17.3704,0.407232
1000,584.653,24.58,419.427,5133.78,17.1334,0.406667
1000,587.927,24.68,415.347,5104.61,16.8978,0.406096
1000,592.033,24.78,411.253,5074.86,16.6634,0.405519
1000,596.98,24.88,407.144,5044.51,16.4303,0.404936
1000,600.289,24.98,403.02,5013.57,16.1986,0.404348
1000,604.438,25.08,398.882,4982.04,15.9681,0.403754
1000,609.436,25.18,394.73,4949.92,15.7388,0.403155
1000,612.779,25.28,390.564,4917.2,15.5109,0.402549
1000,616.971,25.38,386.384,4883.89,15.2842,0.401938
1000,622.019,25.48,382.189,4849.98,15.0587,0.401321
1000,625.395,25.58,377.981,4815.48,14.8344,0.400699
1000,629.628,25.68,373.759,4780.38,14.6114,0.40007
1000,633.875,25.78,369.524,4744.68,14.3895,0.399436
1000,638.134,25.88,365.275,4708.39,14.1689,0.398796
1000,642.407,25.98,361.012,4671.5,13.9495,0.398151
1000,646.694,26.08,356.736,4634.01,13.7312,0.397499
1000,651.854,26.18,352.448,4595.92,13.5141,0.396842
1000,655.305,26.28,347.284,4545.94,13.2652,0.396055
1000,659.63,26.38,343.831,4517.94,13.0834,0.395511
1000,664.837,26.48,339.503,4478.05,12.8697,0.394836
1000,668.318,26.58,335.163,4437.56,12.6572,0.394156
1000,672.68,26.68,330.811,4396.47,12.4458,0.39347
1000,677.055,26.78,326.446,4354.79,12.2356,0.392779
1000,681.442,26.88,322.069,4312.5,12.0265,0.392082
1000,685.841,26.98,317.679,4269.61,11.8184,0.391379
1000,690.251,27.08,313.278,4226.12,11.6115,0.39067
1000,694.674,27.18,308.865,4182.04,11.4057,0.389956
1000,699.107,27.28,303.554,4125.3,11.1683,0.389103
1000,704.443,27.38,300.004,4092.06,10.9972,0.388509
1000,708.009,27.48,295.557,4046.17,10.7946,0.387778
1000,712.477,27.58,291.098,3999.69,10.5931,0.387041
1000,716.955,27.68,286.628,3952.6,10.3926,0.386298
1000,721.445,27.78,282.148,3904.92,10.1932,0.385549
1000,726.846,27.88,277.656,3856.65,9.99483,0.384795
1000,730.455,27.98,273.154,3807.77,9.7975,0.384035
1000,734.975,28.08,268.642,3758.3,9.60122,0.38327
1000,739.506,28.18,264.119,3708.24,9.40596,0.382499
1000,744.046,28.28,259.587,3657.58,9.21174,0.381722
1000,748.597,28.38,255.044,3606.33,9.01854,0.38094
1000,753.157,28.48,250.492,3554.48,8.82635,0.380152
1000,758.641,28.58,245.93,3502.04,8.63518,0.379359
1000,762.305,28.68,241.359,3449.01,8.44502,0.37856
1000,766.893,28.78,236.778,3395.4,8.25586,0.377755
1000,771.49,28.88,232.188,3341.19,8.0677,0.376945
1000,777.018,28.98,226.669,3273.1,7.84864,0.375984
1000,780.71,29.08,222.982,3231.01,7.69435,0.375309
1000,785.333,29.18,218.366,3175.04,7.50915,0.374482
1000,789.964,29.28,213.742,3118.49,7.32494,0.37365
1000,794.603,29.38,209.109,3061.36,7.14171,0.372813
1000,799.249,29.48,204.469,3003.64,6.95945,0.37197
1000,803.904,29.58,199.82,2945.35,6.77816,0.371122
1000,808.566,29.68,195.164,2886.48,6.59784,0.370268
1000,814.17,29.78,190.501,2827.03,6.41849,0.36941
1000,817.912,29.88,185.83,2767.01,6.24009,0.368545
1000,822.595,29.98,180.216,2692.42,6.03132,0.367524
1000,827.285,30.08,176.467,2645.25,5.88617,0.366801
1000,831.982,30.18,171.776,2583.51,5.71064,0.365921
1000,836.685,30.28,166.138,2507.02,5.5049,0.364882
1000,842.336,30.38,162.374,2458.34,5.36242,0.364146
1000,846.109,30.48,157.664,2394.91,5.18972,0.36325
1000,850.829,30.58,152.948,2330.92,5.01797,0.362349
1000,855.555,30.68,148.226,2266.38,4.84715,0.361444
1000,860.287,30.78,143.499,2201.27,4.67728,0.360533
1000,865.023,30.88,137.819,2121.04,4.47756,0.359459
1000,869.765,30.98,134.029,2069.4,4.34031,0.358696
1000,874.511,31.08,129.286,2002.65,4.17322,0.35777
1000,879.261,31.18,124.54,1935.34,4.00706,0.356839
1000,884.016,31.28,118.837,1852.68,3.81134,0.355742
1000,888.775,31.38,115.033,1799.11,3.67751,0.354962
1000,893.537,31.48,110.273,1730.19,3.51412,0.354017
1000,898.303,31.58,105.51,1660.72,3.35165,0.353066
1000,903.073,31.68,100.743,1590.73,3.19009,0.352111
