kP,kI,kD,,,,
1.00E-05,1.00E-05,0.0001,,,,
Target,Altitude,Time,P,I,D,Thrott
1000,656.472,87.4,346.592,15128.7,3.97012,0.421347
1000,660.351,87.5,342.757,14978.5,3.9217,0.41959
1000,665.08,87.6,338.866,14825.4,3.87275,0.417804
1000,669.082,87.7,334.92,14669.5,3.82328,0.415991
1000,672.322,87.8,330.918,14510.8,3.7733,0.414149
1000,676.421,87.9,326.863,14349.3,3.72281,0.412279
1000,680.572,88,322.753,14185,3.67182,0.410382
1000,684.777,88.1,318.591,14018,3.62035,0.408457
1000,689.033,88.2,314.376,13848.3,3.5684,0.406505
1000,693.34,88.3,310.11,13675.8,3.51598,0.404526
1000,697.698,88.4,305.792,13500.7,3.46311,0.40252
1000,702.105,88.5,300.545,13284.1,3.39983,0.400089
1000,706.562,88.6,297.007,13142.6,3.35601,0.398429
1000,711.067,88.7,292.541,12959.6,3.30181,0.396345
1000,715.62,88.8,288.026,12774,3.24719,0.394234
1000,720.219,88.9,283.464,12585.8,3.19216,0.392099
1000,724.865,89,278.855,12395.1,3.13673,0.389938
1000,729.556,89.1,274.2,12201.9,3.0809,0.387752
1000,734.292,89.2,269.5,12006.2,3.02469,0.385542
1000,739.072,89.3,264.756,11808.1,2.96811,0.383307
1000,743.895,89.4,259.967,11607.5,2.91117,0.381049
1000,748.76,89.5,255.136,11404.6,2.85387,0.378766
1000,753.667,89.6,250.262,11199.2,2.79623,0.376461
1000,758.614,89.7,245.347,10991.6,2.73825,0.374132
1000,763.601,89.8,240.392,10781.6,2.67995,0.371781
1000,768.628,89.9,235.396,10569.3,2.62134,0.369407
1000,773.692,90,230.362,10354.8,2.56243,0.367011
1000,778.794,90.1,225.29,10138.1,2.50323,0.364594
1000,783.933,90.2,220.181,9919.15,2.44374,0.362155
1000,789.107,90.3,215.035,9698.09,2.38398,0.359696
1000,795.361,90.4,209.854,9474.92,2.32397,0.357215
1000,799.558,90.5,204.639,9249.66,2.2637,0.354715
1000,804.834,90.6,199.389,9022.36,2.20319,0.352194
1000,810.142,90.7,194.107,8793.05,2.14246,0.349655
1000,815.481,90.8,188.793,8561.76,2.08151,0.347096
1000,821.927,90.9,183.448,8328.54,2.02035,0.344518
1000,826.248,91,178.073,8093.41,1.959,0.341922
1000,831.675,91.1,172.669,7856.42,1.89746,0.339308
1000,837.13,91.2,167.236,7617.6,1.83574,0.336677
1000,842.61,91.3,161.776,7377,1.77386,0.334028
1000,848.117,91.4,156.29,7134.66,1.71183,0.331363
1000,853.648,91.5,150.779,6890.6,1.64966,0.328682
1000,859.202,91.6,144.133,6594.1,1.57523,0.325465
1000,865.897,91.7,139.684,6397.53,1.52494,0.323272
1000,870.378,91.8,134.103,6148.6,1.4624,0.320545
1000,875.998,91.9,128.5,5898.13,1.39978,0.317803
1000,881.637,92,122.876,5646.16,1.33706,0.315047
1000,887.294,92.1,117.233,5392.73,1.27427,0.312277
1000,894.107,92.2,111.572,5137.89,1.21142,0.309495
1000,899.802,92.3,105.893,4881.67,1.14852,0.306699
1000,904.37,92.4,100.198,4624.13,1.08557,0.303891
1000,911.238,92.5,94.4872,4365.31,1.02259,0.301072
1000,915.828,92.6,88.7621,4105.25,0.959591,0.298241
1000,921.576,92.7,83.0236,3843.99,0.896584,0.2954
1000,927.336,92.8,77.2727,3581.59,0.833579,0.292548
1000,933.107,92.9,71.5105,3318.09,0.770588,0.289686
1000,938.887,93,65.738,3053.53,0.707621,0.286815
1000,945.834,93.1,59.9562,2787.96,0.64469,0.283935
1000,950.471,93.2,54.1661,2521.43,0.581805,0.281046
1000,956.273,93.3,48.3688,2253.99,0.518979,0.27815
1000,962.081,93.4,42.5654,1985.67,0.45622,0.275246
1000,967.893,93.5,36.7568,1716.54,0.393541,0.272335
1000,973.708,93.6,29.7811,1392.27,0.318515,0.268862
1000,979.526,93.7,25.1284,1176.01,0.268466,0.266495
1000,985.344,93.8,19.3108,904.71,0.206091,0.263567
1000,991.162,93.9,13.4924,632.795,0.143843,0.260634
1000,996.979,94,7.67426,360.307,0.081728,0.257696
1000,1002.79,94.1,1.85743,87.2993,0.0197599,0.254755
1000,1008.61,94.2,-3.95715,-186.184,-0.0420526,0.25181
1000,1014.41,94.3,-9.76832,-460.088,-0.103698,0.248863
1000,1020.22,94.4,-15.5749,-734.357,-0.165163,0.245913
1000,1026.01,94.5,-21.376,-1008.95,-0.22644,0.242961
1000,1031.8,94.6,-27.1704,-1283.8,-0.287518,0.240009
1000,1037.58,94.7,-32.9571,-1558.87,-0.348384,0.237056
1000,1043.35,94.8,-38.735,-1834.1,-0.409029,0.234102
1000,1049.11,94.9,-44.5031,-2109.45,-0.469442,0.23115
1000,1054.86,95,-50.2603,-2384.85,-0.529613,0.228198
1000,1060.59,95.1,-56.0054,-2660.25,-0.58953,0.225247
1000,1066.31,95.2,-61.7374,-2935.61,-0.649184,0.222299
1000,1072.02,95.3,-67.4553,-3210.87,-0.708564,0.219353
1000,1077.71,95.4,-73.158,-3485.98,-0.76766,0.216411
1000,1083.38,95.5,-78.8444,-3760.88,-0.826461,0.213472
1000,1090.16,95.6,-84.5135,-4035.52,-0.884958,0.210537
1000,1094.67,95.7,-90.1642,-4309.85,-0.94314,0.207607
1000,1100.29,95.8,-95.7953,-4583.8,-1.001,0.204683
1000,1105.88,95.9,-101.406,-4857.34,-1.05852,0.201764
1000,1111.45,96,-106.995,-5130.4,-1.11569,0.198852
1000,1118.1,96.1,-112.561,-5402.92,-1.17251,0.195947
1000,1123.62,96.2,-118.103,-5674.87,-1.22896,0.19305
1000,1128.02,96.3,-123.621,-5946.18,-1.28504,0.190161
1000,1133.49,96.4,-129.113,-6216.8,-1.34074,0.18728
1000,1138.93,96.5,-134.578,-6486.67,-1.39604,0.184409
1000,1144.34,96.6,-140.015,-6755.74,-1.45094,0.181547
1000,1149.73,96.7,-145.423,-7023.95,-1.50542,0.178696
1000,1155.08,96.8,-150.801,-7291.25,-1.55948,0.175856
1000,1160.4,96.9,-156.148,-7557.59,-1.6131,0.173027
1000,1165.69,97,-161.463,-7822.9,-1.66629,0.17021
1000,1170.95,97.1,-167.797,-8138.18,-1.72987,0.166884
1000,1176.17,97.2,-171.993,-8350.26,-1.7713,0.164615
1000,1181.35,97.3,-177.206,-8612.19,-1.8231,0.161838
1000,1186.5,97.4,-182.382,-8872.88,-1.87443,0.159074
1000,1191.61,97.5,-188.544,-9182.11,-1.93577,0.155817
1000,1196.67,97.6,-193.638,-9439.83,-1.98603,0.153087
1000,1201.7,97.7,-197.684,-9646.98,-2.02545,0.150876
1000,1206.69,97.8,-202.706,-9902.17,-2.07478,0.148176
1000,1211.64,97.9,-207.686,-10155.8,-2.12358,0.145493
1000,1216.54,98,-212.624,-10408,-2.17185,0.142827
1000,1221.4,98.1,-217.52,-10658.5,-2.21959,0.140179
1000,1226.22,98.2,-222.371,-10907.3,-2.26678,0.13755
1000,1230.99,98.3,-227.177,-11154.4,-2.31341,0.13494
1000,1235.71,98.4,-231.937,-11399.7,-2.35949,0.132349
1000,1240.39,98.5,-236.651,-11643.2,-2.40499,0.129779
1000,1245.01,98.6,-241.317,-11884.8,-2.44992,0.12723
1000,1249.59,98.7,-245.934,-12124.5,-2.49426,0.124702
1000,1254.12,98.8,-250.501,-12362.2,-2.53801,0.122196
1000,1258.59,98.9,-255.018,-12597.9,-2.58115,0.119712
1000,1263.02,99,-259.483,-12831.4,-2.62369,0.117251
1000,1267.39,99.1,-263.896,-13062.9,-2.66562,0.114814
1000,1271.71,99.2,-268.256,-13292.1,-2.70692,0.1124
1000,1276.81,99.3,-272.562,-13519.1,-2.7476,0.110011
1000,1280.17,99.4,-276.813,-13743.8,-2.78764,0.107647
1000,1284.32,99.5,-281.008,-13966.1,-2.82704,0.105308
1000,1288.42,99.6,-285.146,-14186,-2.86579,0.102995
1000,1292.45,99.7,-289.227,-14403.5,-2.90389,0.100709
1000,1296.43,99.8,-293.25,-14618.5,-2.94132,0.0984495
1000,1300.34,99.9,-297.213,-14830.9,-2.97809,0.0962177
1000,1304.2,100,-301.117,-15040.8,-3.01418,0.094014
1000,1308.74,100.1,-304.959,-15247.9,-3.04959,0.0918387
1000,1311.72,100.2,-308.74,-15452.4,-3.08432,0.0896924
1000,1316.11,100.3,-312.459,-15654.2,-3.11835,0.0875754
1000,1318.99,100.4,-316.114,-15853.1,-3.15169,0.0854884
1000,1322.53,100.5,-319.706,-16049.2,-3.18432,0.0834319
1000,1326.01,100.6,-323.233,-16242.4,-3.21624,0.0814062
1000,1329.42,100.7,-326.694,-16432.7,-3.24746,0.0794118
1000,1332.76,100.8,-330.09,-16620,-3.27795,0.0774492
1000,1336.03,100.9,-333.418,-16804.3,-3.30772,0.0755189
1000,1339.24,101,-336.679,-16985.5,-3.33676,0.0736212
1000,1342.38,101.1,-339.872,-17163.6,-3.36507,0.0717567
1000,1345.45,101.2,-342.996,-17338.5,-3.39265,0.0699258
1000,1348.44,101.3,-346.051,-17510.2,-3.41947,0.0681291
1000,1351.37,101.4,-349.035,-17678.6,-3.44555,0.0663668
1000,1354.23,101.5,-351.948,-17843.8,-3.47089,0.0646392
1000,1357.01,101.6,-354.79,-18005.6,-3.49547,0.062947
1000,1359.72,101.7,-357.559,-18164,-3.51929,0.0612906
1000,1362.36,101.8,-360.256,-18319,-3.54235,0.0596702
1000,1364.93,101.9,-362.88,-18470.6,-3.56464,0.0580863
1000,1367.42,102,-365.43,-18618.6,-3.58616,0.0565397
1000,1369.83,102.1,-367.905,-18763.1,-3.60691,0.0550303
1000,1372.17,102.2,-370.305,-18904,-3.62688,0.0535586
1000,1374.43,102.3,-372.629,-19041.3,-3.64608,0.052125
1000,1376.62,102.4,-374.877,-19175,-3.66449,0.0507299
1000,1378.73,102.5,-377.049,-19304.9,-3.68212,0.0493737
1000,1380.76,102.6,-379.143,-19431.1,-3.69895,0.0480568
1000,1382.72,102.7,-381.16,-19553.5,-3.71501,0.0467794
1000,1384.59,102.8,-383.098,-19672.1,-3.73026,0.045542
1000,1386.39,102.9,-384.958,-19786.8,-3.74473,0.0443449
1000,1388.11,103,-386.738,-19897.7,-3.75839,0.0431886
1000,1389.74,103.1,-388.44,-20004.6,-3.77126,0.0420731
1000,1391.3,103.2,-390.061,-20107.6,-3.78332,0.040999
1000,1392.78,103.3,-391.602,-20206.6,-3.79459,0.0399665
1000,1394.17,103.4,-393.062,-20301.6,-3.80505,0.0389759
1000,1395.74,103.5,-394.441,-20392.6,-3.81471,0.0380275
1000,1396.72,103.6,-395.738,-20479.4,-3.82356,0.0371217
1000,1397.87,103.7,-396.954,-20562.2,-3.8316,0.0362587
1000,1398.93,103.8,-398.087,-20640.8,-3.83883,0.0354389
1000,1399.92,103.9,-399.138,-20715.3,-3.84526,0.0346624
1000,1400.82,104,-400.106,-20785.5,-3.85087,0.0339297
1000,1401.79,104.1,-400.991,-20851.5,-3.85568,0.0332409
1000,1402.37,104.2,-401.792,-20913.3,-3.85967,0.0325962
1000,1403.02,104.3,-402.51,-20970.8,-3.86286,0.0319961
1000,1403.59,104.4,-403.143,-21023.9,-3.86523,0.0314406
1000,1404.07,104.5,-403.693,-21072.8,-3.86679,0.0309301
1000,1404.47,104.6,-404.158,-21117.2,-3.86754,0.0304647
1000,1404.78,104.7,-404.538,-21157.3,-3.86748,0.0300447
1000,1405.01,104.8,-404.834,-21193,-3.86661,0.0296703
1000,1405.15,104.9,-405.044,-21224.3,-3.86493,0.0293416
1000,1405.21,105,-405.17,-21251.2,-3.86244,0.029059
1000,1405.18,105.1,-405.21,-21273.5,-3.85914,0.0288225
1000,1405.07,105.2,-405.165,-21291.4,-3.85504,0.0286323
1000,1404.87,105.3,-405.034,-21304.8,-3.85013,0.0284885
1000,1404.58,105.4,-404.817,-21313.6,-3.84442,0.0283916
1000,1404.21,105.5,-404.515,-21318,-3.83791,0.0283414
1000,1403.76,105.6,-404.127,-21317.7,-3.83059,0.0283382
1000,1403.21,105.7,-403.654,-21312.9,-3.82248,0.028382
1000,1402.58,105.8,-403.094,-21303.5,-3.81357,0.0284731
1000,1401.87,105.9,-402.449,-21289.5,-3.80386,0.0286114
1000,1401.07,106,-401.718,-21271,-3.79337,0.0287969
1000,1400.19,106.1,-400.901,-21247.8,-3.78209,0.0290301
1000,1399.22,106.2,-399.999,-21219.9,-3.77002,0.0293107
1000,1398.16,106.3,-399.011,-21187.5,-3.75717,0.0296391
1000,1397.02,106.4,-397.938,-21150.4,-3.74353,0.0300151
1000,1395.54,106.5,-396.779,-21108.7,-3.72913,0.0304387
1000,1394.48,106.6,-395.536,-21062.3,-3.71395,0.03091
1000,1393.08,106.7,-394.207,-21011.2,-3.698,0.0314291
1000,1391.6,106.8,-392.794,-20955.5,-3.68129,0.0319961
1000,1390.04,106.9,-391.296,-20895.2,-3.66382,0.0326107
1000,1388.39,107,-389.713,-20830.2,-3.64558,0.0332732
1000,1386.65,107.1,-388.046,-20760.5,-3.6266,0.0339834
1000,1384.83,107.2,-386.296,-20686.1,-3.60687,0.0347412
1000,1382.93,107.3,-384.461,-20607.1,-3.58639,0.0355467
1000,1380.95,107.4,-382.544,-20523.5,-3.56518,0.0363998
1000,1378.46,107.5,-380.543,-20435.2,-3.54323,0.0373004
1000,1376.29,107.6,-378.46,-20342.2,-3.52056,0.0382484
1000,1374.5,107.7,-376.294,-20244.6,-3.49716,0.0392437
1000,1372.19,107.8,-374.047,-20142.4,-3.47304,0.0402862
1000,1369.8,107.9,-371.718,-20035.6,-3.44822,0.0413757
1000,1367.32,108,-369.308,-19924.2,-3.42269,0.0425122
1000,1364.77,108.1,-366.818,-19808.1,-3.39646,0.0436954
1000,1362.13,108.2,-364.247,-19687.5,-3.36954,0.0449252
1000,1359.42,108.3,-361.597,-19562.4,-3.34193,0.0462014
1000,1356.06,108.4,-358.868,-19432.7,-3.31364,0.0475239
1000,1353.76,108.5,-356.06,-19298.4,-3.28468,0.0488925
1000,1350.81,108.6,-353.174,-19159.7,-3.25506,0.0503069
1000,1347.78,108.7,-350.211,-19016.4,-3.22478,0.0517668
1000,1344.68,108.8,-347.171,-18868.7,-3.19384,0.0532722
1000,1341.51,108.9,-344.054,-18716.6,-3.16226,0.0548228
1000,1338.25,109,-340.862,-18560,-3.13005,0.0564182
1000,1334.25,109.1,-337.596,-18399,-3.09721,0.0580581
1000,1331.53,109.2,-334.254,-18233.6,-3.06374,0.0597424
1000,1328.06,109.3,-330.84,-18063.9,-3.02967,0.0614706
1000,1324.51,109.4,-327.353,-17889.8,-2.99499,0.0632425
1000,1320.89,109.5,-323.793,-17711.5,-2.95972,0.0650578
1000,1317.21,109.6,-320.162,-17528.9,-2.92386,0.0669162
1000,1313.45,109.7,-316.461,-17342,-2.88741,0.0688174
1000,1309.62,109.8,-312.689,-17151,-2.8504,0.0707608
1000,1305.73,109.9,-308.849,-16955.8,-2.81283,0.0727461
1000,1301.77,110,-304.941,-16756.5,-2.77471,0.0747731
1000,1296.92,110.1,-300.965,-16553.1,-2.73604,0.0768413
1000,1293.64,110.2,-296.922,-16345.6,-2.69684,0.0789503
1000,1289.48,110.3,-292.814,-16134.1,-2.65712,0.0810998
1000,1285.26,110.4,-288.642,-15918.6,-2.61688,0.0832889
1000,1280.97,110.5,-284.406,-15699.2,-2.57614,0.0855177
1000,1276.62,110.6,-280.106,-15475.9,-2.5349,0.0877857
1000,1272.21,110.7,-275.745,-15248.7,-2.49318,0.0900922
1000,1267.74,110.8,-271.323,-15017.7,-2.45098,0.092437
1000,1263.21,110.9,-266.841,-14783,-2.40831,0.0948193
1000,1258.62,111,-262.3,-14544.5,-2.36519,0.0972389
1000,1253.98,111.1,-257.701,-14302.4,-2.32163,0.0996951
1000,1249.28,111.2,-253.044,-14056.6,-2.27763,0.102188
1000,1244.52,111.3,-248.332,-13807.3,-2.2332,0.104716
1000,1239.71,111.4,-243.565,-13554.4,-2.18837,0.107279
1000,1234.85,111.5,-238.745,-13298.1,-2.14313,0.109876
1000,1229.93,111.6,-233.871,-13038.3,-2.0975,0.112508
1000,1224.97,111.7,-228.946,-12775.2,-2.05149,0.115173
1000,1219.95,111.8,-223.97,-12508.7,-2.0051,0.117871
1000,1214.89,111.9,-218.945,-12239,-1.95836,0.120601
1000,1209.78,112,-213.872,-11966.1,-1.91128,0.123363
1000,1204.62,112.1,-208.751,-11690.1,-1.86385,0.126156
1000,1199.42,112.2,-203.584,-11410.9,-1.8161,0.12898
1000,1194.17,112.3,-198.373,-11128.7,-1.76803,0.131833
1000,1188.88,112.4,-193.118,-10843.6,-1.71966,0.134716
1000,1183.55,112.5,-187.821,-10555.5,-1.671,0.137627
1000,1178.18,112.6,-182.482,-10264.6,-1.62206,0.140566
1000,1172.77,112.7,-177.103,-9970.91,-1.57285,0.143533
1000,1167.32,112.8,-171.686,-9674.49,-1.52339,0.146526
1000,1161.84,112.9,-166.231,-9375.42,-1.47368,0.149545
1000,1155.21,113,-160.739,-9073.74,-1.42373,0.152589
1000,1150.77,113.1,-155.213,-8769.53,-1.37357,0.155658
1000,1145.18,113.2,-149.653,-8462.87,-1.32319,0.158751
1000,1139.56,113.3,-144.06,-8153.82,-1.27262,0.161867
1000,1133.92,113.4,-138.437,-7842.44,-1.22186,0.165005
1000,1128.24,113.5,-132.783,-7528.8,-1.17093,0.168165
1000,1122.54,113.6,-127.101,-7212.97,-1.11983,0.171346
1000,1116.8,113.7,-121.391,-6895.02,-1.06858,0.174548
1000,1111.05,113.8,-115.656,-6575.02,-1.0172,0.177769
1000,1105.27,113.9,-109.895,-6253.04,-0.965687,0.181009
1000,1099.47,114,-104.112,-5929.15,-0.914061,0.184267
1000,1093.65,114.1,-98.306,-5603.44,-0.862333,0.187542
1000,1087.8,114.2,-92.4798,-5275.97,-0.810515,0.190834
1000,1081.94,114.3,-86.6343,-4946.82,-0.758619,0.194141
1000,1076.07,114.4,-80.7707,-4616.05,-0.706656,0.197464
1000,1070.18,114.5,-74.8906,-4283.74,-0.654638,0.200801
1000,1064.27,114.6,-68.9953,-3949.98,-0.602579,0.204151
1000,1058.35,114.7,-63.0861,-3614.83,-0.55049,0.207514
1000,1052.42,114.8,-57.1644,-3278.38,-0.498382,0.210889
1000,1046.48,114.9,-51.2317,-2940.7,-0.446269,0.214274
1000,1040.53,115,-45.2892,-2601.86,-0.394162,0.21767
1000,1034.57,115.1,-39.3385,-2261.96,-0.342074,0.221076
1000,1028.61,115.2,-33.381,-1921.08,-0.290017,0.22449
1000,1022.64,115.3,-27.418,-1579.27,-0.238003,0.227911
1000,1015.48,115.4,-21.4509,-1236.65,-0.186045,0.23134
1000,1010.7,115.5,-15.4811,-893.261,-0.134152,0.234774
1000,1004.73,115.6,-9.51006,-549.206,-0.0823382,0.238214
1000,998.763,115.7,-3.53918,-204.564,-0.0306157,0.241659
1000,991.603,115.8,2.43019,140.587,0.0210043,0.245107
1000,986.833,115.9,8.3967,486.169,0.0725104,0.248557
1000,980.875,116,14.3589,832.098,0.12389,0.25201
1000,974.925,116.1,20.3153,1178.29,0.175132,0.255464
1000,968.982,116.2,26.2645,1524.66,0.226224,0.258917
1000,963.049,116.3,32.2052,1871.12,0.277153,0.262371
1000,957.128,116.4,38.136,2217.61,0.327911,0.265822
1000,951.218,116.5,44.0553,2564.02,0.378482,0.269272
1000,945.323,116.6,49.9619,2910.28,0.428857,0.272718
1000,938.269,116.7,55.8543,3256.3,0.479025,0.27616
1000,932.409,116.8,61.7311,3602.01,0.528972,0.279597
1000,927.734,116.9,67.5909,3947.31,0.578689,0.283028
1000,921.909,117,73.4323,4292.12,0.628163,0.286453
1000,916.104,117.1,79.254,4636.36,0.677384,0.28987
1000,910.321,117.2,85.0545,4979.94,0.726341,0.293278
1000,904.562,117.3,90.8325,5322.78,0.775021,0.296678
1000,898.829,117.4,96.5864,5664.79,0.823414,0.300067
1000,893.121,117.5,102.315,6005.9,0.871508,0.303445
1000,887.441,117.6,108.017,6346,0.919294,0.306812
1000,881.791,117.7,113.691,6685.03,0.96676,0.310165
1000,876.171,117.8,119.335,7022.89,1.01389,0.313505
1000,870.583,117.9,124.949,7359.5,1.06069,0.316831
1000,865.028,118,130.53,7694.77,1.10713,0.320141
1000,858.408,118.1,136.078,8028.63,1.15321,0.323435
1000,854.024,118.2,141.592,8360.99,1.19891,0.326712
1000,848.577,118.3,147.069,8691.75,1.24424,0.329971
1000,843.168,118.4,152.508,9020.85,1.28916,0.333211
1000,837.8,118.5,157.909,9348.19,1.33369,0.336432
1000,832.473,118.6,163.269,9673.69,1.3778,0.339632
1000,827.188,118.7,168.588,9997.26,1.42148,0.342811
1000,821.947,118.8,174.914,10381.1,1.47358,0.346602
1000,815.717,118.9,179.096,10638.3,1.50754,0.349101
1000,811.602,119,184.283,10955.6,1.5499,0.35221
1000,806.5,119.1,189.422,11270.6,1.59178,0.355295
1000,800.443,119.2,194.514,11583.3,1.6332,0.358354
1000,796.446,119.3,199.557,11893.6,1.67413,0.361387
1000,791.495,119.4,204.549,12201.3,1.71457,0.364392
1000,786.597,119.5,209.489,12506.5,1.75451,0.36737
1000,781.753,119.6,214.376,12809,1.79394,0.370318
1000,776.965,119.7,219.209,13108.7,1.83285,0.373236
1000,772.233,119.8,223.986,13405.6,1.87123,0.376124
1000,766.63,119.9,228.707,13699.6,1.90907,0.378981
1000,762.942,120,233.37,13990.5,1.94637,0.381805
1000,758.386,120.1,237.974,14278.4,1.98312,0.384597
1000,753.892,120.2,242.517,14563.2,2.0193,0.387354
1000,749.459,120.3,247,14844.7,2.05491,0.390077
1000,745.091,120.4,251.419,15122.9,2.08994,0.392764
1000,740.786,120.5,256.639,15449.7,2.13155,0.395945
1000,736.548,120.6,260.067,15669,2.15823,0.39803
1000,732.376,120.7,264.292,15936.8,2.19147,0.400606
1000,728.273,120.8,268.45,16201,2.22411,0.403144
1000,723.439,120.9,272.54,16461.4,2.25613,0.405643
1000,720.273,121,276.561,16718.1,2.28752,0.408101
1000,716.38,121.1,280.511,16970.9,2.31827,0.410519
1000,712.559,121.2,284.39,17219.8,2.34839,0.412895
1000,708.811,121.3,288.197,17464.7,2.37786,0.415229
1000,705.137,121.4,291.93,17705.6,2.40668,0.41752
1000,701.538,121.5,296.312,17986.1,2.44079,0.420213
1000,697.321,121.6,299.172,18174.7,2.46232,0.421969
1000,694.571,121.7,302.679,18402.9,2.48914,0.424127
1000,690.54,121.8,306.109,18626.7,2.51527,0.426238
1000,687.268,121.9,309.46,18846.1,2.54072,0.428303
1000,684.708,122,312.732,19061,2.56548,0.430321
1000,681.582,122.1,315.923,19271.3,2.58954,0.432291
1000,678.537,122.2,319.034,19477,2.61289,0.434212
1000,675.574,122.3,322.063,19678,2.63554,0.436084
1000,672.696,122.4,325.008,19874.3,2.65747,0.437905
1000,669.352,122.5,327.87,20065.7,2.67868,0.439677
1000,667.192,122.6,330.648,20252.2,2.69916,0.441397
1000,664.569,122.7,333.34,20433.7,2.71892,0.443065
1000,662.032,122.8,335.945,20610.3,2.73794,0.444681
1000,659.584,122.9,338.464,20781.7,2.75622,0.446244
1000,657.224,123,340.895,20948,2.77376,0.447753
1000,654.953,123.1,343.238,21109.1,2.79055,0.449209
1000,652.771,123.2,345.491,21265,2.80659,0.450609
1000,650.681,123.3,347.654,21415.5,2.82187,0.451953
1000,648.682,123.4,349.726,21560.6,2.83638,0.453242
1000,646.775,123.5,352.092,21724.1,2.85326,0.454716
1000,644.96,123.6,353.962,21857.2,2.86609,0.45588
1000,643.239,123.7,355.392,21963.2,2.87534,0.456767
1000,641.612,123.8,357.094,22086.3,2.88678,0.457827
1000,640.079,123.9,358.703,22203.7,2.89744,0.458827
1000,638.641,124,360.216,22315.4,2.90731,0.459769
1000,637.043,124.1,361.635,22421.4,2.91641,0.460651
1000,636.054,124.2,362.957,22521.5,2.92472,0.461473
1000,634.687,124.3,364.184,22615.8,2.93224,0.462235
1000,633.853,124.4,365.313,22704.2,2.93896,0.462935
1000,632.9,124.5,366.345,22786.7,2.9449,0.463574
1000,632.044,124.6,367.279,22863.1,2.95003,0.464151
1000,631.287,124.7,368.115,22933.6,2.95438,0.464666
1000,630.51,124.8,368.852,22997.9,2.95792,0.465118
1000,630.071,124.9,369.49,23056.2,2.96066,0.465507
1000,629.613,125,370.028,23108.3,2.9626,0.465833
1000,629.255,125.1,370.467,23154.2,2.96373,0.466095
1000,628.958,125.2,370.805,23193.8,2.96407,0.466293
1000,628.841,125.3,371.042,23227.2,2.96359,0.466426
1000,628.786,125.4,371.178,23254.3,2.96232,0.466494
1000,628.832,125.5,371.214,23275.1,2.96024,0.466497
1000,628.979,125.6,371.147,23289.5,2.95735,0.466435
1000,629.229,125.7,370.979,23297.5,2.95365,0.466307
1000,629.581,125.8,370.708,23299,2.94915,0.466113
1000,630.036,125.9,370.336,23294.1,2.94385,0.465853
1000,630.592,126,369.861,23282.8,2.93774,0.465526
1000,631.252,126.1,369.284,23264.9,2.93082,0.465133
1000,632.013,126.2,368.604,23240.5,2.92311,0.464673
1000,632.877,126.3,367.822,23209.6,2.9146,0.464147
1000,633.844,126.4,366.938,23172.1,2.90529,0.463553
1000,634.913,126.5,365.951,23128.1,2.89518,0.462892
1000,636.33,126.6,364.861,23077.5,2.88428,0.462165
1000,637.624,126.7,363.67,23020.3,2.87259,0.46137
1000,638.732,126.8,362.376,22956.5,2.86011,0.460507
1000,640.209,126.9,360.981,22886.2,2.84685,0.459578
1000,641.787,127,359.484,22809.2,2.83281,0.458582
1000,643.466,127.1,357.885,22725.7,2.81799,0.457518
1000,645.615,127.2,356.186,22635.6,2.80241,0.456387
1000,647.127,127.3,354.385,22538.9,2.78605,0.45519
1000,649.516,127.4,352.485,22435.6,2.76893,0.453925
1000,651.189,127.5,350.484,22325.8,2.75105,0.452594
1000,653.368,127.6,348.383,22209.4,2.73242,0.451196
1000,655.647,127.7,346.184,22086.5,2.71304,0.449732
1000,658.024,127.8,343.885,21957.1,2.69292,0.448202
1000,660.499,127.9,341.489,21821.1,2.67206,0.446606
1000,663.071,128,338.994,21678.7,2.65046,0.444943
1000,666.285,128.1,336.403,21529.8,2.62815,0.443216
1000,668.504,128.2,333.715,21374.5,2.60512,0.441423
1000,671.364,128.3,330.932,21212.7,2.58137,0.439566
1000,674.318,128.4,328.053,21044.6,2.55692,0.437643
1000,677.366,128.5,325.08,20870.1,2.53177,0.435657
1000,680.507,128.6,322.013,20689.3,2.50594,0.433607
1000,683.741,128.7,318.853,20502.3,2.47942,0.431494
1000,687.741,128.8,314.94,20266.4,2.44709,0.428884
1000,690.481,128.9,312.259,20109.5,2.42437,0.427078
1000,693.986,129,308.825,19903.8,2.39585,0.424777
1000,698.309,129.1,305.302,19692,2.36669,0.422415
1000,702.008,129.2,301.691,19474.2,2.33688,0.419991
1000,705.793,129.3,297.992,19250.3,2.30644,0.417507
1000,708.883,129.4,294.207,19020.5,2.27538,0.414963
1000,713.62,129.5,290.336,18784.7,2.24371,0.41236
1000,716.844,129.6,286.38,18543.1,2.21143,0.409698
1000,721.78,129.7,282.341,18295.7,2.17856,0.406977
1000,725.982,129.8,278.22,18042.6,2.1451,0.404199
1000,729.402,129.9,274.018,17783.7,2.11107,0.401365
1000,733.747,130,269.735,17519.3,2.07648,0.398474
1000,738.171,130.1,265.374,17249.3,2.04134,0.395528
1000,742.67,130.2,260.936,16973.9,2.00565,0.392527
1000,747.245,130.3,256.421,16693,1.96944,0.389472
1000,751.894,130.4,251.831,16406.8,1.9327,0.386364
1000,757.568,130.5,247.168,16115.3,1.89546,0.383204
1000,761.408,130.6,242.432,15818.7,1.85772,0.379992
1000,766.27,130.7,237.626,15516.9,1.81949,0.376729
1000,772.194,130.8,232.75,15210.2,1.78079,0.373417
