Target,Altitude,Time
700,163.978,665.6
700,162.722,665.66
700,161.533,665.72
700,160.412,665.78
700,159.36,665.84
700,158.375,665.9
700,157.458,665.96
700,156.609,666.02
700,155.828,666.14
700,154.47,666.2
700,153.893,666.26
700,153.385,666.32
700,152.946,666.38
700,152.574,666.44
700,152.271,666.5
700,152.037,666.56
700,151.872,666.62
700,151.775,666.68
700,151.747,666.74
700,151.817,666.82
700,151.95,666.88
700,152.234,666.96
700,152.528,667.02
700,153.029,667.1
700,153.485,667.16
700,154.01,667.22
700,154.605,667.28
700,155.27,667.34
700,156.004,667.4
700,156.808,667.46
700,157.682,667.52
700,158.625,667.58
700,159.639,667.64
700,160.723,667.7
700,161.876,667.76
700,163.524,667.84
700,164.842,667.9
700,166.229,667.96
700,167.688,668.02
700,169.216,668.08
700,170.815,668.14
700,172.485,668.2
700,183.987,668.56
700,186.152,668.62
700,188.388,668.68
700,190.695,668.74
700,193.073,668.8
700,195.523,668.86
700,198.043,668.92
700,200.634,668.98
700,203.297,669.04
700,206.031,669.1
700,208.836,669.16
700,211.713,669.22
700,214.661,669.28
700,217.681,669.34
700,220.772,669.4
700,223.934,669.46
700,227.168,669.52
700,230.473,669.58
700,233.85,669.64
700,237.298,669.7
700,240.818,669.76
700,244.41,669.82
700,248.073,669.88
700,251.808,669.94
700,255.614,670
700,259.492,670.06
700,263.442,670.12
700,267.464,670.18
700,271.557,670.24
700,275.722,670.3
700,279.959,670.36
700,284.268,670.42
700,290.124,670.5
700,296.108,670.58
700,300.68,670.64
700,305.324,670.7
700,310.04,670.76
700,316.439,670.84
700,321.322,670.9
700,326.277,670.98
700,332.995,671.04
700,338.118,671.1
700,343.313,671.16
700,348.579,671.22
700,353.917,671.28
700,359.327,671.34
700,364.809,671.4
700,370.362,671.46
700,375.988,671.52
700,381.685,671.58
700,387.453,671.64
700,393.291,671.7
700,399.196,671.76
700,409.184,671.86
700,419.346,671.96
700,423.458,672
700,429.676,672.06
700,435.951,672.12
700,442.279,672.18
700,448.658,672.24
700,455.087,672.3
700,461.563,672.36
700,468.084,672.42
700,474.648,672.48
700,481.252,672.54
700,487.895,672.6
700,494.574,672.66
700,501.287,672.72
700,508.032,672.78
700,514.807,672.84
700,521.608,672.9
700,528.434,672.96
700,535.283,673.02
700,542.152,673.08
700,549.039,673.14
700,555.942,673.2
700,562.858,673.26
700,569.784,673.32
700,576.72,673.38
700,583.661,673.44
700,590.606,673.52
700,599.868,673.58
700,606.814,673.64
700,613.755,673.7
700,620.69,673.76
700,627.616,673.82
700,634.532,673.88
700,641.433,673.96
700,650.611,674.02
700,657.472,674.08
700,664.312,674.14
700,671.129,674.2
700,677.92,674.26
700,684.683,674.32
700,691.415,674.38
700,698.115,674.44
700,704.779,674.5
700,711.406,674.56
700,717.993,674.62
700,724.54,674.68
700,731.045,674.74
700,737.509,674.8
700,743.932,674.86
700,750.314,674.92
700,756.655,674.98
700,762.955,675.04
700,769.215,675.1
700,775.433,675.16
700,779.556,675.2
700,785.707,675.26
700,791.818,675.32
700,797.888,675.38
700,803.917,675.44
700,809.906,675.5
700,815.855,675.56
700,821.764,675.62
700,827.632,675.68
700,833.461,675.74
700,841.17,675.82
700,846.906,675.88
700,852.602,675.98
700,862.006,676.04
700,867.596,676.1
700,873.146,676.16
700,878.657,676.22
700,884.129,676.28
700,889.561,676.34
700,894.953,676.4
700,900.307,676.46
700,905.621,676.52
700,910.897,676.58
700,916.133,676.64
700,923.054,676.72
700,928.2,676.8
700,935,676.86
700,940.055,676.92
700,945.071,676.98
700,950.048,677.04
700,954.987,677.1
700,964.75,677.22
700,969.574,677.28
700,974.359,677.34
700,979.106,677.4
700,983.814,677.46
700,988.485,677.52
700,993.117,677.58
700,997.711,677.64
700,1002.27,677.7
700,1006.79,677.76
700,1011.27,677.82
700,1015.71,677.88
700,1020.11,677.94
700,1024.48,678
700,1028.81,678.06
700,1035.94,678.16
700,1040.17,678.22
700,1044.36,678.28
700,1048.51,678.34
700,1052.63,678.4
700,1056.71,678.46
700,1060.75,678.52
700,1064.75,678.58
700,1068.72,678.64
700,1075.25,678.74
700,1079.12,678.8
700,1082.95,678.86
700,1086.74,678.92
700,1090.5,678.98
700,1094.21,679.04
700,1097.9,679.1
700,1101.54,679.16
700,1105.15,679.22
700,1108.72,679.28
700,1111.08,679.3
700,1113.43,679.36
700,1116.91,679.42
700,1120.36,679.48
700,1123.77,679.54
700,1127.15,679.6
700,1130.49,679.66
700,1133.79,679.72
700,1137.05,679.78
700,1140.28,679.84
700,1143.48,679.9
700,1146.63,679.96
700,1149.75,680.02
700,1152.84,680.08
700,1155.88,680.14
700,1158.89,680.2
700,1161.87,680.26
700,1164.81,680.3
700,1166.75,680.36
700,1169.62,680.42
700,1172.47,680.48
700,1175.27,680.54
700,1178.04,680.6
700,1180.77,680.66
700,1183.47,680.72
700,1186.13,680.78
700,1188.76,680.84
700,1191.35,680.9
700,1193.9,681.02
700,1198.9,681.08
700,1201.34,681.14
700,1203.75,681.2
700,1206.13,681.26
700,1208.47,681.32
700,1210.77,681.38
700,1213.04,681.44
700,1215.27,681.52
700,1218.19,681.58
700,1220.33,681.64
700,1222.44,681.7
700,1227.23,681.92
700,1227.23,681.98
700,1227.23,682.04
700,1227.23,682.1
700,1237.45,682.16
700,1239.26,682.22
700,1241.03,682.28
700,1242.76,682.34
700,1244.46,682.4
700,1246.12,682.46
700,1247.75,682.52
700,1249.34,682.58
700,1250.89,682.64
700,1252.41,682.7
700,1253.9,682.76
700,1255.35,682.82
700,1256.76,682.88
700,1258.14,682.94
700,1259.49,683
700,1260.8,683.06
700,1262.07,683.12
700,1263.31,683.18
700,1264.51,683.24
700,1265.68,683.3
700,1266.81,683.36
700,1267.91,683.42
700,1268.97,683.48
700,1270,683.54
700,1270.99,683.6
700,1271.95,683.66
700,1273.17,683.74
700,1274.61,683.84
700,1275.43,683.9
700,1276.21,683.96
700,1277.2,684.04
700,1277.9,684.1
700,1278.56,684.16
700,1279.19,684.22
700,1279.79,684.28
700,1280.35,684.34
700,1280.87,684.4
700,1281.36,684.46
700,1281.82,684.52
700,1282.24,684.58
700,1282.62,684.64
700,1282.97,684.7
700,1283.28,684.76
700,1283.56,684.82
700,1283.81,684.88
700,1284.02,684.94
700,1284.19,685
700,1284.33,685.06
700,1284.44,685.12
700,1284.51,685.18
700,1284.54,685.24
700,1284.54,685.3
700,1284.5,685.36
700,1284.43,685.42
700,1284.33,685.48
700,1284.19,685.54
700,1284.01,685.6
700,1283.8,685.66
700,1283.56,685.72
700,1283.28,685.78
700,1282.96,685.84
700,1282.61,685.9
700,1282.23,685.96
700,1281.81,686.06
700,1281.03,686.12
700,1280.52,686.18
700,1279.97,686.24
700,1279.38,686.3
700,1278.77,686.36
700,1277.89,686.44
700,1277.19,686.5
700,1276.45,686.56
700,1275.68,686.62
700,1274.88,686.68
700,1274.04,686.74
700,1273.17,686.8
700,1272.26,686.86
700,1271.32,686.92
700,1270.34,687
700,1268.98,687.06
700,1267.92,687.12
700,1266.82,687.18
700,1265.69,687.24
700,1264.53,687.3
700,1263.33,687.36
700,1262.1,687.42
700,1260.83,687.48
700,1259.53,687.54
700,1258.19,687.6
700,1256.81,687.66
700,1255.41,687.72
700,1253.97,687.78
700,1252.49,687.84
700,1250.98,687.9
700,1249.43,687.96
700,1247.85,688.02
700,1246.24,688.08
700,1244.59,688.14
700,1242.9,688.2
700,1241.18,688.26
700,1239.43,688.32
700,1237.64,688.38
700,1235.82,688.44
700,1233.96,688.5
700,1232.07,688.56
700,1230.14,688.62
700,1228.18,688.68
700,1226.19,688.74
700,1224.16,688.8
700,1222.09,688.86
700,1220,688.92
700,1217.86,688.98
700,1215.7,689.04
700,1213.5,689.1
700,1211.26,689.16
700,1208.99,689.22
700,1206.69,689.28
700,1204.35,689.34
700,1201.98,689.4
700,1199.57,689.46
700,1197.13,689.52
700,1194.65,689.58
700,1192.15,689.64
700,1189.6,689.7
700,1184.42,689.82
700,1181.77,689.88
700,1179.09,689.94
700,1176.38,690
700,1173.63,690.06
700,1170.85,690.12
700,1168.04,690.18
700,1165.19,690.24
700,1162.31,690.3
700,1159.39,690.38
700,1155.45,690.44
700,1151.45,690.52
700,1148.41,690.58
700,1145.33,690.64
700,1142.23,690.7
700,1136.97,690.8
700,1133.78,690.86
700,1130.55,690.92
700,1127.28,690.98
700,1123.99,691.04
700,1120.66,691.1
700,1117.29,691.18
700,1112.75,691.24
700,1109.31,691.3
700,1105.84,691.36
700,1102.33,691.42
700,1098.79,691.48
700,1095.21,691.54
700,1091.61,691.6
700,1087.96,691.66
700,1084.29,691.72
700,1080.58,691.78
700,1076.84,691.84
700,1073.07,691.9
700,1069.26,691.96
700,1065.42,692.02
700,1061.55,692.08
700,1057.65,692.14
700,1053.71,692.2
700,1049.74,692.26
700,1045.74,692.32
700,1041.7,692.38
700,1037.63,692.44
700,1033.53,692.5
700,1029.4,692.56
700,1025.23,692.62
700,1021.03,692.68
700,1013.96,692.78
700,1006.8,692.88
700,1002.46,692.94
700,996.627,693.02
700,992.212,693.08
700,987.766,693.14
700,983.287,693.2
700,978.776,693.3
700,971.186,693.36
700,965.051,693.44
700,960.412,693.5
700,954.177,693.58
700,949.463,693.64
700,944.718,693.7
700,936.739,693.8
700,931.909,693.86
700,927.047,693.92
700,922.154,693.98
700,917.23,694.04
700,912.274,694.1
700,907.286,694.16
700,902.267,694.22
700,897.217,694.28
700,892.135,694.34
700,887.022,694.4
700,881.878,694.46
700,876.703,694.52
700,871.496,694.58
700,866.259,694.66
700,859.227,694.72
700,853.917,694.78
700,848.576,694.84
700,843.204,694.9
700,837.802,694.96
700,832.369,695.02
700,826.905,695.08
700,821.41,695.14
700,815.885,695.2
700,810.329,695.26
700,804.742,695.32
700,801.001,695.34
700,797.246,695.4
700,791.589,695.44
700,789.696,695.48
700,783.998,695.54
700,778.27,695.6
700,772.511,695.66
700,766.723,695.72
700,760.904,695.78
700,755.055,695.84
700,747.21,695.92
700,741.291,695.98
700,735.343,696.04
700,729.364,696.1
700,723.356,696.16
700,717.318,696.22
700,711.25,696.28
700,705.153,696.34
700,699.026,696.4
700,692.869,696.46
700,686.683,696.52
700,680.468,696.58
700,674.224,696.64
700,667.952,696.7
700,661.654,696.76
700,655.33,696.82
700,648.984,696.88
700,642.616,696.94
700,636.228,697
700,629.823,697.1
700,619.115,697.16
700,612.674,697.22
700,606.222,697.28
700,599.763,697.34
700,593.299,697.4
700,586.831,697.46
700,580.362,697.52
700,573.895,697.58
700,567.432,697.64
700,560.974,697.7
700,554.524,697.76
700,548.084,697.82
700,541.657,697.88
700,535.244,697.94
700,528.848,698
700,522.471,698.06
700,516.115,698.12
700,509.783,698.18
700,503.476,698.24
700,497.198,698.3
700,490.949,698.36
700,484.732,698.42
700,476.497,698.5
700,470.364,698.56
700,464.269,698.62
700,458.216,698.68
700,452.207,698.74
700,446.243,698.8
700,440.326,698.86
700,434.459,698.92
700,428.645,698.98
700,422.884,699.04
700,417.179,699.1
700,411.532,699.16
700,405.945,699.22
700,400.42,699.28
700,394.959,699.34
700,389.564,699.4
700,384.237,699.46
700,378.979,699.52
700,373.794,699.58
700,368.682,699.64
700,363.645,699.7
700,358.686,699.76
700,350.597,699.86
700,345.852,699.92
700,341.19,699.98
700,336.61,700.04
700,332.115,700.1
700,327.704,700.16
700,323.377,700.22
700,319.135,700.28
700,314.978,700.34
700,310.905,700.4
700,306.918,700.46
700,303.015,700.52
700,299.197,700.58
700,295.464,700.64
700,291.816,700.7
700,287.085,700.78
700,283.636,700.84
700,280.271,700.9
700,276.992,700.96
700,273.798,701.02
700,270.689,701.08
700,267.665,701.14
700,264.726,701.2
700,260.017,701.3
700,256.42,701.38
700,253.822,701.44
700,251.309,701.5
700,248.881,701.56
700,246.539,701.62
700,244.282,701.68
700,242.11,701.74
700,240.024,701.8
700,238.023,701.86
700,236.107,701.92
700,234.278,701.98
700,232.533,702.04
700,230.875,702.1
700,229.302,702.16
700,227.815,702.22
700,226.413,702.28
700,225.098,702.34
700,223.868,702.4
700,222.725,702.46
700,221.667,702.52
700,220.696,702.58
700,219.811,702.64
700,219.012,702.7
700,218.3,702.76
700,217.674,702.84
700,216.975,702.9
700,216.551,702.96
700,216.214,703.04
700,215.901,703.1
700,215.767,703.16
700,215.72,703.22
700,215.761,703.28
700,215.889,703.34
700,216.105,703.4
700,216.408,703.46
700,216.799,703.52
700,217.277,703.58
700,217.844,703.64
700,219.241,703.76
700,221.317,703.9
700,222.354,703.96
700,223.48,704.02
700,224.694,704.08
700,225.997,704.14
700,227.389,704.2
700,228.869,704.26
700,230.439,704.32
700,232.097,704.38
700,233.844,704.44
700,235.681,704.5
700,237.607,704.56
700,239.622,704.62
700,241.726,704.7
700,244.671,704.76
700,246.984,704.82
700,249.386,704.88
700,251.878,704.94
700,254.46,705
700,257.131,705.06
700,259.892,705.12
700,262.743,705.18
700,265.684,705.24
700,268.714,705.3
700,271.835,705.36
700,275.045,705.42
700,278.345,705.48
700,281.736,705.54
700,285.216,705.6
700,288.786,705.66
700,292.446,705.72
700,296.197,705.78
700,300.037,705.84
700,303.968,705.9
700,307.989,705.96
700,312.099,706.02
700,316.301,706.08
700,320.592,706.14
700,324.973,706.2
700,329.444,706.26
700,334.006,706.32
700,338.658,706.4
700,345.001,706.46
700,349.863,706.52
700,354.815,706.58
700,359.858,706.64
700,364.99,706.7
700,370.213,706.76
700,375.525,706.82
700,388.271,706.96
700,393.88,707.02
700,399.577,707.08
700,405.358,707.14
700,411.22,707.2
700,417.16,707.26
700,423.176,707.32
700,429.266,707.38
700,435.426,707.44
700,441.655,707.5
700,447.951,707.56
700,454.311,707.62
700,460.731,707.68
700,467.211,707.74
700,473.747,707.8
700,480.337,707.86
700,486.978,707.94
700,495.908,708
700,502.658,708.06
700,509.452,708.12
700,516.285,708.18
700,523.155,708.24
700,530.059,708.3
700,536.995,708.36
700,543.96,708.42
700,550.951,708.48
700,557.965,708.54
700,565,708.6
700,572.052,708.66
700,579.119,708.72
700,586.199,708.78
700,593.288,708.84
700,600.383,708.9
700,607.482,708.96
700,614.582,709.02
700,621.679,709.08
700,628.772,709.14
700,635.857,709.2
700,642.932,709.26
700,649.993,709.32
700,657.039,709.38
700,664.065,709.44
700,671.07,709.5
700,678.05,709.56
700,685.003,709.62
700,691.926,709.68
700,698.816,709.74
700,705.67,709.8
700,712.486,709.86
700,719.262,709.92
700,725.995,709.98
700,732.685,710.04
700,739.333,710.1
700,748.131,710.16
700,754.68,710.24
700,763.347,710.32
700,769.797,710.38
700,776.205,710.44
700,782.572,710.5
700,788.896,710.56
700,799.345,710.66
700,805.558,710.72
700,811.73,710.78
700,817.86,710.84
700,823.949,710.9
700,829.997,710.96
700,836.003,711.02
700,841.968,711.08
700,847.893,711.14
700,853.776,711.2
700,859.618,711.26
700,865.42,711.32
700,873.092,711.38
700,878.799,711.46
700,884.466,711.52
700,890.092,711.58
700,895.677,711.64
700,903.062,711.86
700,973.013,712.52
700,977.977,712.58
700,982.901,712.64
700,987.786,712.7
700,992.632,712.78
700,999.033,712.84
700,1003.79,712.9
700,1010.07,712.98
700,1014.73,713.04
700,1019.36,713.1
700,1023.95,713.16
700,1028.5,713.22
700,1033.01,713.28
700,1037.48,713.34
700,1041.92,713.4
700,1046.31,713.46
700,1050.67,713.52
700,1054.99,713.58
700,1060.69,713.66
700,1064.92,713.72
700,1069.11,713.78
700,1073.27,713.84
700,1077.39,713.9
700,1081.46,713.96
700,1085.51,714.02
700,1089.51,714.08
700,1093.48,714.14
700,1097.4,714.2
700,1101.29,714.26
700,1105.15,714.32
700,1108.96,714.38
700,1112.74,714.46
700,1117.72,714.52
700,1121.41,714.58
700,1126.28,714.66
700,1129.88,714.72
700,1133.45,714.78
700,1136.98,714.84
700,1140.47,714.9
700,1143.93,714.96
700,1147.35,715.02
700,1150.73,715.08
700,1154.08,715.14
700,1157.39,715.2
700,1160.66,715.26
700,1163.89,715.32
700,1167.09,715.38
700,1171.3,715.46
700,1174.41,715.52
700,1177.49,715.58
700,1180.53,715.64
700,1183.53,715.7
700,1186.5,715.76
700,1189.43,715.82
700,1192.32,715.88
700,1195.18,715.94
700,1198,716
700,1200.79,716.06
700,1203.53,716.12
700,1206.25,716.18
700,1208.92,716.24
700,1211.56,716.3
700,1214.17,716.36
700,1216.73,716.42
700,1219.27,716.48
700,1221.76,716.54
700,1224.22,716.6
700,1226.64,716.66
700,1229.03,716.72
700,1231.38,716.78
700,1233.7,716.84
700,1235.98,716.9
700,1238.96,716.98
700,1241.16,717.04
700,1243.32,717.1
700,1245.45,717.16
700,1247.53,717.22
700,1249.59,717.28
700,1251.61,717.34
700,1253.59,717.4
700,1255.53,717.46
700,1257.44,717.52
700,1259.32,717.58
700,1261.16,717.64
700,1262.96,717.7
700,1264.73,717.76
700,1266.47,717.82
700,1268.16,717.88
700,1269.82,717.94
700,1271.45,718
700,1273.04,718.06
700,1274.6,718.12
700,1276.12,718.18
700,1277.6,718.24
700,1279.05,718.3
700,1280.47,718.36
700,1281.85,718.42
700,1283.19,718.48
700,1284.5,718.54
700,1285.77,718.6
700,1287.01,718.66
700,1288.21,718.72
700,1289.38,718.78
700,1290.51,718.84
700,1291.61,718.9
700,1292.67,718.96
700,1293.7,719.02
700,1294.69,719.08
700,1295.65,719.14
700,1296.57,719.2
700,1297.45,719.26
700,1298.3,719.32
700,1299.12,719.38
700,1299.9,719.44
700,1300.65,719.5
700,1301.36,719.56
700,1302.03,719.62
700,1302.67,719.68
700,1303.28,719.74
700,1303.85,719.8
700,1304.38,719.88
700,1305.04,719.94
700,1305.5,720
700,1305.92,720.06
700,1306.3,720.12
700,1306.65,720.18
700,1306.96,720.24
700,1307.33,720.32
700,1307.56,720.4
700,1307.81,720.46
700,1307.96,720.52
700,1308.08,720.58
700,1308.16,720.64
700,1308.2,720.7
700,1308.21,720.76
700,1308.19,720.82
700,1308.13,720.88
700,1308.04,720.94
700,1307.91,721
700,1307.74,721.06
700,1307.54,721.12
